iter	Passed	Remaining
0	20	10195
1	37	9330
2	54	9020
3	72	8970
4	92	9181
5	109	9017
6	128	9015
7	144	8905
8	161	8822
9	178	8750
10	195	8675
11	211	8611
12	228	8559
13	247	8594
14	266	8631
15	284	8608
16	303	8613
17	322	8624
18	339	8597
19	358	8601
20	378	8634
21	400	8711
22	420	8724
23	439	8717
24	459	8729
25	477	8709
26	496	8692
27	515	8682
28	537	8735
29	558	8744
30	588	8909
31	610	8934
32	633	8969
33	655	8984
34	678	9017
35	699	9019
36	720	9012
37	742	9021
38	762	9007
39	782	8995
40	803	8994
41	824	8992
42	844	8970
43	863	8943
44	881	8916
45	899	8878
46	917	8843
47	936	8821
48	960	8836
49	981	8832
50	1005	8851
51	1031	8885
52	1052	8873
53	1072	8862
54	1094	8852
55	1118	8871
56	1140	8863
57	1163	8864
58	1189	8890
59	1215	8910
60	1238	8916
61	1261	8912
62	1282	8895
63	1301	8864
64	1319	8833
65	1339	8807
66	1358	8780
67	1381	8774
68	1402	8761
69	1425	8758
70	1448	8755
71	1468	8731
72	1487	8701
73	1507	8680
74	1532	8685
75	1555	8680
76	1580	8681
77	1605	8688
78	1631	8697
79	1654	8686
80	1678	8683
81	1700	8669
82	1722	8654
83	1745	8644
84	1766	8626
85	1787	8606
86	1811	8600
87	1834	8587
88	1858	8582
89	1879	8564
90	1901	8547
91	1925	8537
92	1947	8523
93	1969	8505
94	1992	8492
95	2013	8472
96	2035	8458
97	2057	8440
98	2081	8429
99	2101	8407
100	2123	8390
101	2144	8367
102	2166	8350
103	2189	8336
104	2212	8322
105	2231	8294
106	2250	8265
107	2269	8237
108	2288	8207
109	2306	8176
110	2325	8149
111	2344	8122
112	2364	8096
113	2383	8070
114	2403	8047
115	2422	8019
116	2442	7995
117	2462	7970
118	2481	7945
119	2503	7926
120	2522	7900
121	2541	7874
122	2562	7853
123	2581	7827
124	2604	7814
125	2626	7796
126	2646	7774
127	2667	7752
128	2689	7734
129	2709	7710
130	2729	7689
131	2749	7666
132	2772	7649
133	2792	7627
134	2813	7607
135	2833	7584
136	2853	7561
137	2872	7536
138	2891	7509
139	2911	7486
140	2932	7466
141	2952	7444
142	2972	7421
143	2990	7392
144	3009	7366
145	3027	7341
146	3053	7333
147	3087	7342
148	3119	7348
149	3151	7353
150	3177	7344
151	3202	7331
152	3225	7314
153	3251	7304
154	3274	7288
155	3297	7271
156	3320	7254
157	3347	7246
158	3370	7228
159	3396	7218
160	3422	7206
161	3449	7196
162	3477	7190
163	3503	7178
164	3527	7162
165	3550	7144
166	3572	7122
167	3592	7099
168	3612	7076
169	3634	7055
170	3654	7030
171	3676	7011
172	3697	6988
173	3718	6967
174	3739	6944
175	3758	6919
176	3780	6898
177	3800	6875
178	3819	6849
179	3838	6824
180	3857	6799
181	3877	6774
182	3895	6747
183	3916	6726
184	3936	6701
185	3954	6675
186	3973	6650
187	3991	6624
188	4009	6598
189	4028	6573
190	4047	6548
191	4068	6526
192	4087	6501
193	4105	6475
194	4124	6451
195	4145	6429
196	4164	6405
197	4183	6381
198	4202	6356
199	4221	6332
200	4240	6307
201	4258	6283
202	4276	6256
203	4293	6229
204	4310	6202
205	4328	6178
206	4347	6153
207	4366	6129
208	4384	6104
209	4402	6079
210	4419	6053
211	4438	6029
212	4455	6004
213	4475	5980
214	4493	5956
215	4513	5934
216	4530	5908
217	4547	5882
218	4567	5859
219	4586	5837
220	4606	5816
221	4626	5793
222	4643	5768
223	4662	5744
224	4679	5719
225	4698	5696
226	4715	5670
227	4733	5646
228	4752	5624
229	4770	5600
230	4787	5575
231	4806	5551
232	4824	5528
233	4841	5503
234	4857	5477
235	4874	5452
236	4891	5427
237	4909	5404
238	4927	5381
239	4944	5356
240	4962	5332
241	4979	5308
242	4996	5284
243	5012	5258
244	5033	5239
245	5052	5217
246	5069	5192
247	5085	5167
248	5101	5142
249	5117	5117
250	5133	5092
251	5149	5067
252	5173	5051
253	5190	5026
254	5208	5004
255	5229	4984
256	5248	4962
257	5264	4937
258	5279	4912
259	5295	4887
260	5310	4862
261	5324	4836
262	5339	4811
263	5354	4786
264	5371	4763
265	5386	4738
266	5401	4713
267	5416	4689
268	5431	4664
269	5447	4640
270	5464	4617
271	5480	4593
272	5495	4569
273	5512	4547
274	5528	4523
275	5544	4500
276	5561	4477
277	5577	4454
278	5595	4432
279	5611	4409
280	5628	4386
281	5644	4363
282	5659	4339
283	5677	4318
284	5696	4297
285	5718	4278
286	5740	4260
287	5760	4240
288	5779	4219
289	5796	4197
290	5814	4176
291	5829	4152
292	5846	4130
293	5863	4108
294	5882	4087
295	5900	4066
296	5917	4044
297	5933	4022
298	5951	4000
299	5968	3978
